,country,Profit_avg,Loss_avg,imdb_score_avg,Latitude,Longitude
0,Afghanistan,1.081331,0.0,7.4,33.7680065,66.2385139
1,Argentina,14.486106914577405,-0.6873075000000001,7.5,-34.9964963,-64.9672817
2,Aruba,0.0,-24.923864,4.8,12.4902998,-69.9609842
3,Australia,31.938387374195045,-20.128388178013264,6.48679245283019,-24.7761086,134.755
4,Bahamas,11.534431609673627,0.0,4.4,24.7736546,-78.0000547
5,Belgium,0.0,-26.34930549138582,5.6,50.6402809,4.6667145
6,Brazil,5.056106823594203,-10.39127674824937,7.2749999999999995,-10.3333333,-53.2
7,Bulgaria,24.072007985529353,0.0,6.1,42.6073975,25.4856617
8,Cambodia,0.0,-28.45094146046879,5.6,13.5066394,104.869423
9,Cameroon,0.0,-39.72795704527473,7.5,4.6125522,13.1535811
10,Canada,15.915298184983552,-14.496689498632579,6.095081967213116,61.0666922,-107.991707
11,Chile,0.0,-13.811358,6.9,-31.7613365,-71.3187697
12,China,19.214675591644422,-53.40103952597554,6.623333333333332,35.000074,104.999927
13,Colombia,3.517198,0.0,7.5,2.8894434,-73.783892
14,Czech Republic,0.0,-47.52189466666667,6.966666666666666,49.8167003,15.4749544
15,Denmark,0.34778,-16.5881584306888,7.172727272727272,55.670249,10.3333283
16,Dominican Republic,9.017294070529749,0.0,6.9,19.0974031,-70.3028026
17,Egypt,15.164115760878563,0.0,8.1,26.2540493,29.2675469
18,Finland,0.0,-3.238291,7.2,63.2467777,25.9209164
19,France,22.350975775489378,-28.29549594464307,6.661184210526317,46.603354,1.8883335
20,Georgia,0.0,-19.982851,5.6,32.3293809,-83.1137366
21,Germany,18.18104235815352,-22.042183134645164,6.340206185567008,51.0834196,10.4234469
22,Greece,0.0,-26.971298522637365,7.0,38.9953683,21.9877132
23,Hong Kong,11.840981678841667,-25.41353634087912,6.741176470588235,22.2793278,114.1628131
24,Hungary,3.179303,-2499.804112,6.449999999999999,47.1817585,19.5060937
25,Iceland,0.0,-6.8841030000000005,6.9,64.9841821,-18.1059013
26,India,8.86803834782233,-80.0472930469634,6.532352941176472,22.3511148,78.6677428
27,Indonesia,3.005123,0.0,7.6,-2.4833826,117.8902853
28,Iran,2.669224666666667,-13.0,7.725,32.6475314,54.5643516
29,Ireland,7.0730550759192665,-19.97266367014145,6.783333333333334,52.865196,-7.9794599
30,Israel,0.783276,-13.037304015091577,7.5249999999999995,31.5313113,34.8667654
31,Italy,16.437299015954,-15.439156869088293,6.79090909090909,42.6384261,12.674297
32,Japan,108.72557485704941,-356.91317637683545,6.949999999999999,36.5748441,139.2394179
33,Kenya,9.841469525170092,0.0,7.4,1.4419683,38.4313975
34,Kyrgyzstan,10.321849383936978,0.0,8.7,41.5089324,74.724091
35,Libya,0.0,-20.611837225937006,8.4,26.8234472,18.1236723
36,Mexico,10.191967162019228,-15.173538348424911,6.776470588235294,22.5000485,-100.000037
37,Netherlands,6.4045315452959635,-7.9484449999999995,6.94,52.5001698,5.7480821
38,New Line,0.0,-83.287549,4.4,53.6116884,-2.8677436
39,New Zealand,37.745648990652874,-20.255555594478327,7.279999999999999,-41.5000831,172.8344077
40,Nigeria,2.4855870644999145,0.0,5.6,9.6000359,7.9999721
41,Norway,10.42431888211295,-22.8321872708702,6.542857142857143,60.5000209,9.0999715
42,Official site,5.218921,0.0,6.3,-46.9043557,-72.1564441
43,Pakistan,9.315652358679518,0.0,7.0,30.3308401,71.247499
44,Panama,0.0,-0.27746487091990935,7.2,8.559559,-81.1308434
45,Peru,12.362581,0.0,5.4,-6.8699697,-75.0458515
46,Philippines,0.063071,0.0,6.3,12.7503486,122.7312101
47,Poland,0.0,-18.677612522637364,6.25,52.215933,19.134422
48,Romania,5.4668641052684,0.0,6.6,45.9852129,24.6859225
49,Russia,7.493475634651052,-16.82107067292929,6.081818181818182,64.6863136,97.7453061
50,Slovakia,0.0,-27.155246786975827,6.0,48.7411522,19.4528646
51,Slovenia,9.087015480919662,0.0,6.4,45.8133113,14.4808369
52,South Africa,28.180427337642417,-4.748168043662608,6.4375,-28.8166236,24.991639
53,South Korea,1.7904074286972163,-1385.2132960893039,6.257142857142858,36.638392,127.6961188
54,Soviet Union,35.41755230879268,0.0,8.1,44.566633350000004,27.359792969682104
55,Spain,26.456098808444608,-44.85958035850839,6.8242424242424224,39.3260685,-4.8379791
56,Sweden,22.876381220073558,-28.06791233146412,7.4,59.6749712,14.5208584
57,Switzerland,12.49854434235089,-6.9984749795397185,5.8999999999999995,46.7985624,8.2319736
58,Taiwan,113.067808,-14.386444,7.15,23.9739374,120.9820179
59,Thailand,0.0,-187.14979300905495,6.08,14.8971921,100.83273
60,Turkey,8.620459465574772,0.0,6.0,38.9597594,34.9249653
61,UK,28.372341874827743,-19.981042252596186,6.780875576036865,54.7023545,-3.2765753
62,USA,39.09890147137643,-20.16142954823305,6.347120278596301,39.7837304,-100.4458825
63,United Arab Emirates,19.56298918128176,0.0,8.2,24.0002488,53.9994829
64,West Germany,16.919872781225646,-14.610719802332147,7.266666666666667,50.09805815,8.546215090872613
